,minutes,station,elevation
872,24,ONEWEB-0245,20.87680263067987
873,25,ONEWEB-0245,24.003220036878698
874,1,ONEWEB-0229,14.68281045831195
875,2,ONEWEB-0229,50.51284310464604
876,3,ONEWEB-0229,21.053703977169068
877,20,ONEWEB-0228,15.409637007061221
878,21,ONEWEB-0228,37.57402502248604
879,76,ONEWEB-0232,14.620896872195047
880,87,ONEWEB-0231,11.334230724074514
881,44,ONEWEB-0234,17.520193971358765
882,82,ONEWEB-0238,10.235354973889887
883,8,ONEWEB-0240,13.238202186339228
884,9,ONEWEB-0240,40.69489832411639
885,10,ONEWEB-0240,23.221344362763748
886,53,ONEWEB-0246,17.411481299416256
887,11,ONEWEB-0210,16.96189129682062
888,12,ONEWEB-0210,54.76748123068043
889,13,ONEWEB-0210,14.33253450052638
890,67,ONEWEB-0214,13.504666226485831
891,69,ONEWEB-0221,12.26433142139795
892,65,ONEWEB-0212,13.345821393904854
893,4,ONEWEB-0227,16.89707446463175
894,5,ONEWEB-0227,63.46128143469596
895,6,ONEWEB-0227,17.669484958074893
896,68,ONEWEB-0224,13.238244543552394
897,57,ONEWEB-0233,16.686952078136734
898,76,ONEWEB-0190,13.173950512868004
899,50,ONEWEB-0236,12.953704765255589
900,23,ONEWEB-0248,15.72354663567203
901,24,ONEWEB-0248,29.433477110432616
902,72,ONEWEB-0225,19.557609629999003
903,40,ONEWEB-0215,13.767526084533005
904,41,ONEWEB-0215,17.560890858958103
905,40,ONEWEB-0216,22.138717693484494
906,37,ODYSSEY,33.69752995824947
907,38,ODYSSEY,12.95561909793936
